C8D593AF,ui_TUM_Co-OpDamageTitle
628DFF79,ui_TUM_Required
EF112B17,ui_TUM_Upgrade_Button
EEF0513A,
20B72688,
A7F8B4F7,
1B521E46,ui_TUM_3DSConnect_Title
DA2C68BB,ui_TUM_3DSConnect_Desc
2700542B,
9472E4B5,ui_TUM_Shiney_Exchange_Title
22373C6D,ui_TUM_Shiney_Exchange_Desc_01
0203B484,ui_PG_FastballSpecial_Title
E7B0DB2D,ui_PG_FastballSpecial_Desc
C121A86D,ui_PG_RiskTaker_Title
C92293D0,ui_PG_RiskTaker_Desc
A6B33B5C,ui_PG_SpeedyCharge_Title
86FB6E4B,ui_PG_SpeedyCharge_Desc
3AA5ABFA,ui_PG_DoubleJackpot_Title
996D618F,ui_PG_DoubleJackpot_Desc
C4835E03,ui_PG_BubbleShield_Title
6B83EE17,ui_PG_BubbleShield_Desc
9FD8C3C0,ui_PG_ButtBomber_Title
EEB030A8,ui_PG_ButtBomber_Desc
F1AFE76E,ui_PG_DoubleTrouble_Title
F292793F,ui_PG_DoubleTrouble_Desc
7DC25060,ui_PG_BigBang_Title
4C598461,ui_PG_BigBang_Desc
A9C98321,ui_PG_GlassJaw_Title
FCBA2702,ui_PG_GlassJaw_Desc
A55B15DC,ui_PG_Reward_FirstTime_Title
D837E2C9,ui_PG_Reward_FirstTime_Desc
4D5B2611,ui_PG_Reward_Unlock_Title
8C446DDA,
0EF70255,ui_PG_Reward_Confirm_Prompt
A74A0879,ui_PG_Reward_Activated
7F784D3C,ui_PG_Reward_Equip_Prompt
5FEF659F,ui_Obj_Crit_L01_01
B62EBA1B,ui_Obj_Crit_H01v1_01
2F27EBA1,ui_Obj_Crit_H01v1_02
5820DB37,ui_Obj_Crit_H01v1_03
C6444E94,ui_Obj_Crit_H01v1_04
B1437E02,ui_Obj_Crit_H01v1_05
284A2FB8,ui_Obj_Crit_H01v1_06
59700E8F,ui_Obj_Optional_H01v1_01
C0795F35,ui_Obj_Optional_H01v1_02
B77E6FA3,ui_Obj_Optional_H01v1_03
291AFA00,ui_Obj_Optional_H01v1_04
4D5ACA71,ui_Obj_Crit_L02_01
D4539BCB,ui_Obj_Crit_L02_02
F5E6AD14,ui_Obj_Crit_L03_01
EFE0044E,ui_Obj_Optional_L03_01
A49B15F5,ui_Obj_Crit_H01v2_01
3D92444F,ui_Obj_Crit_H01v2_02
4A9574D9,ui_Obj_Crit_H01v2_03
D4F1E17A,ui_Obj_Crit_H01v2_04
4BC5A161,ui_Obj_Optional_H01v2_01
D2CCF0DB,ui_Obj_Optional_H01v2_02
A5CBC04D,ui_Obj_Optional_H01v2_03
5B6415D0,ui_Obj_Crit_Boat_01
B405B972,ui_Obj_Crit_H1R4_01
683195AD,ui_Obj_Crit_L04_01
F138C417,ui_Obj_Crit_L04_02
1C277290,ui_Obj_Crit_H01v3_01
852E232A,ui_Obj_Crit_H01v3_02
F379C604,ui_Obj_Optional_H01v3_01
6A7097BE,ui_Obj_Optional_H01v3_02
1D77A728,ui_Obj_Optional_H01v3_03
BB3E698D,ui_Obj_Crit_H1H2_01
30BAC8B5,ui_Obj_Crit_H02v1_01
DFE47C21,ui_Obj_Optional_H02v1_01
46ED2D9B,ui_Obj_Optional_H02v1_02
31EA1D0D,ui_Obj_Optional_H02v1_03
AF8E88AE,ui_Obj_Optional_H02v1_04
080D4DE4,ui_Obj_Crit_H02b_01
83A9F3A7,ui_Obj_Optional_H02b_01
1AA0A21D,ui_Obj_Optional_H02b_02
220F675B,ui_Obj_Crit_H02v2_01
BB0636E1,ui_Obj_Crit_H02v2_02
CD51D3CF,ui_Obj_Optional_H02v2_01
54588275,ui_Obj_Optional_H02v2_02
235FB2E3,ui_Obj_Optional_H02v2_03
8A2DACB9,ui_Obj_Crit_H2R5_01
D08DF2C8,ui_Obj_Crit_L05_01
4984A372,ui_Obj_Crit_L05_02
9AB3003E,ui_Obj_Crit_H02v3_01
03BA5184,ui_Obj_Crit_H02v3_02
75EDB4AA,ui_Obj_Optional_H02v3_01
ECE4E510,ui_Obj_Optional_H02v3_02
9BE3D586,ui_Obj_Optional_H02v3_03
C2385D26,ui_Obj_Crit_L06_01
E4C4A2A4,ui_Obj_Crit_Sub_01
07643887,ui_Obj_Crit_H02v4_01
9E6D693D,ui_Obj_Crit_H02v4_02
E83A8C13,ui_Obj_Optional_H02v4_01
7133DDA9,ui_Obj_Optional_H02v4_02
0634ED3F,ui_Obj_Optional_H02v4_03
20246432,ui_Obj_Crit_H2R7_01
7A843A43,ui_Obj_Crit_L07_01
E38D6BF9,ui_Obj_Crit_L07_02
BFD85FE2,ui_Obj_Crit_H02v5_01
26D10E58,ui_Obj_Crit_H02v5_02
5086EB76,ui_Obj_Optional_H02v5_01
C98FBACC,ui_Obj_Optional_H02v5_02
BE888A5A,ui_Obj_Optional_H02v5_03
9A5B4D70,ui_Obj_Crit_L09_01
03521CCA,ui_Obj_Crit_L09_02
E5745F07,ui_Obj_Crit_Plane_01
DA332B4A,ui_Obj_Crit_L10_01
433A7AF0,ui_Obj_Crit_L10_02
32075EAA,ui_Obj_Crit_EndGame
AAEF8440,ui_Names_Level_01
26333E9A,ui_Names_Hub01
33E6D5FA,ui_Names_Level_02
44E1E56C,ui_Names_Level_03
C1F456AF,ui_Names_Boat
DA8570CF,ui_Names_Level_04
BF3A6F20,ui_Names_Hub02
4A6FF55E,ui_Names_Hub02b
AD824059,ui_Names_Level_05
348B11E3,ui_Names_Level_06
AEE1164A,ui_Names_Sub
438C2175,ui_Names_Level_07
A4340C72,ui_Names_Level_09
C4F38597,ui_Names_Level_10
2B76D5B5,ui_Logbook_Collection_Button
8721449E,ui_Logbook_Map_Button
65E44718,ui_Logbook_Powers_Button
BE0AE8E0,ui_Logbook_Upgrades_Button
C3DFEF01,
BFAC229D,ui_Logbook_Options_Button
F85288B5,ui_Logbook_MiiversePost_Button
7AABC1E3,ui_Logbook_SaveQuit_Button
224201E6,ui_Logbook_SaveQuit_Prompt
B062A291,ui_Logbook_OffTVPlay_Button
A7D59BDF,ui_Logbook_OnTVPlay_Button
192C6BBF,
6DD96CD4,ui_Logbook_P2Dropout_Button
CDDBD23B,
04B84646,
47193F73,ui_Logbook_FastTravel_Title
73DC1875,ui_Logbook_FastTravel_Prompt_01
9D655961,ui_Collectibles_RobotParts
67224D14,ui_Collectibles_GlobalRings
56C63183,ui_Collectibles_Sticks
9963668D,ui_Collectibles_Crowns
4EBE92E3,ui_Collectibles_PartChests
F2707E44,ui_Collectibles_PowerGlyphs
DB50FBB3,ui_Collectibles_Crystal_01
4259AA09,ui_Collectibles_Crystal_02
355E9A9F,ui_Collectibles_Crystal_03
AB3A0F3C,ui_Collectibles_Crystal_04
DC3D3FAA,ui_Collectibles_Crystal_05
45346E10,ui_Collectibles_Crystal_06
32335E86,ui_Collectibles_Crystal_07
A28C4317,ui_Collectibles_Crystal_08
CB24BBC7,ui_Options_Misc_On
BBC1D240,ui_Options_Misc_Off
C6FFF2BE,ui_Options_Misc_Cancel
F457ED02,ui_Options_Misc_Back
23C9DAF8,ui_Options_Misc_Accept
E59ABAAA,ui_Options_Misc_Yes
A538BA10,ui_Options_Misc_No
AB97F534,ui_Options_Misc_Show
3D00E71E,ui_Options_Misc_Hide
F9FA13E5,ui_Options_Game_Button
ED114847,ui_Options_Audio_Button
AC1532E7,ui_Options_Miiverse
DB070196,ui_Options_Game_Title
5EF4A1A0,ui_Options_Game_Controls_Button
73695CE2,ui_Options_Game_Rumble
1EF576EF,ui_Options_Game_Flip_Vehicle_Control
79281751,ui_Options_Controls_Title
27FDD050,ui_Options_Controls_P1_Title
1615CACD,ui_Options_Controls_P2_Title
112D8F98,ui_Options_Controls_Default_Title
99B33BCB,ui_Options_Controls_Move
5DB7D8B1,ui_Options_Controls_Look
D13E0AA5,ui_Options_Controls_Jump
819EEAE6,ui_Options_Controls_Attack
8568D191,ui_Options_Controls_Special_Attack
FCF99F29,ui_Options_Controls_EnerBeam
656A0AB4,ui_Options_Controls_EnerBeam_WiiRemote
A9B78CC5,ui_Options_Controls_Switch
FEE60539,ui_Options_Controls_Evade
2F7B7152,ui_Options_Controls_Evade_WiiRemote
8584FDD7,ui_Options_Controls_Pause
11CF63BE,ui_Options_Controls_Logbook
BD5EA2C1,ui_Options_Controls_Status
0A23D091,ui_Options_Controls_AVA
26185B78,ui_Options_Controls_Shake
9F6CF046,ui_Options_Controls_Roads_Title
BF83D2A8,ui_Options_Controls_Roads_EvadeLeft
2F6B5391,ui_Options_Controls_Roads_EvadeRight
F83E789F,
97914B34,
22242E15,ui_Options_Controls_Vehicle_P2Aim
2E5EA709,ui_Options_Controls_Vehicle_P2Aim_WiiRemote
E9BA6480,
A0A3112C,
76C84ADD,ui_Options_Controls_Boat_Title
2DBACE08,ui_Options_Controls_Boat_Shoot
52477571,ui_Options_Controls_Boat_Switch_Weapons
35598814,ui_Options_Controls_Boat_P2Shoot
C30E1150,ui_Options_Controls_Boat_P2Shoot_WiiRemote
8B8AA809,ui_Options_Controls_Sub_Title
F59CA594,ui_Options_Controls_Sub_BankLeft
004E3061,ui_Options_Controls_Sub_BankRight
67C029F1,ui_Options_Controls_Sub_Weapon_01
FEC9784B,ui_Options_Controls_Sub_Weapon_02
9E09F619,ui_Options_Controls_Sub_P2Shoot
1E1BF6F5,ui_Options_Controls_Sub_P2Shoot_WiiRemote
3100EC8A,ui_Options_Audio_Title
E2B85765,ui_Options_Audio_Sound
D764B6AB,ui_Options_Audio_Music
FDCDCCDA,ui_Options_Audio_Voice
479E97F8,ui_Options_Audio_Subtitles
07CA7886,ui_Options_Miiverse_Title
56F7FC2E,ui_Options_Miiverse_Posting
93A7C6D0,ui_Options_Miiverse_Filters
9DADEA2E,ui_Options_Miiverse_Filters_Nobody
ABBD032E,ui_Options_Miiverse_Filters_FriendsOnly
DDF3E175,ui_Options_Miiverse_Filters_FollowedOnly
0216B893,ui_Options_Miiverse_Filters_FriendsFollowed
5C26A8A6,ui_Options_Miiverse_Filters_Everyone
38CDB6E8,ui_Options_Miiverse_Spoilers
04523B5F,ui_Options_Miiverse_SpotPass
1889D48C,
24DE792C,ui_Options_Miiverse_Filters_Nobody_Desc
1A93459B,ui_Options_Miiverse_Filters_FriendsOnly_Desc
2A474C48,ui_Options_Miiverse_Filters_FollowedOnly_Desc
925FF584,ui_Options_Miiverse_Filters_FriendsFollowed_Desc
ABD400A7,ui_Options_Miiverse_Filters_Everyone_Desc
58F757C1,ui_Options_Miiverse_Spoilers_Desc
609F6B11,
C66D0552,ui_Options_Miiverse_Warning_Title
D875BE47,ui_Options_Miiverse_Warning_Text
D4BE0348,
8CA4FF8D,
725EF064,ui_TitleScreen_StartPrompt
54E4D2C1,ui_TitleScreen_Copyright
2DB097C3,ui_SaveSlot_Title
91440BE4,ui_SaveSlot_SlotTitle_01
084D5A5E,ui_SaveSlot_SlotTitle_02
7F4A6AC8,ui_SaveSlot_SlotTitle_03
BB97A3CB,ui_SaveSlot_Delete_Button
A118C4D0,ui_SaveSlot_NewGame
E10578A6,ui_SaveSlot_CorruptedGame
1F495F2B,ui_DeleteSlot_Title
905B38A8,ui_DeleteSlot_Confirm_Title
60399272,ui_DeleteSlot_Confirm_Prompt
DE46EF65,ui_DeleteSlot_DeleteInProgress
C4420A6F,ui_DeleteSlot_DeleteComplete
2F3528A2,ui_DeleteSlot_DeleteFailed
A6DE6C3C,ui_SaveSlot_Corrupt_Title
976D407B,ui_SaveSlot_Corrupt_Prompt
5A48F952,ui_SaveSlot_SaveCreated
D09EC3FD,ui_SaveSlot_OutOfMemory_Title
7B78F2F2,
8E088C52,
3D4FDAC4,
222D07CC,ui_MainMenu_Title
3CA8E8C9,ui_MainMenu_StoryMode_Button
4D5C023C,ui_MainMenu_BattleMode_Button
284AB04C,ui_MainMenu_Gallery_Button
0E839334,ui_MainMenu_3DSConnect_Button
35782A61,ui_MainMenu_AltSkins_Title
52C5982E,ui_MainMenu_Alternate
72DEF485,ui_3DSConnect_Desc
9F7C38CB,ui_3DSConnect_Prompt
E5CBDD7C,
6DAF10F4,
2AB5952B,ui_3DSConnect_Connection_Error
3D2AA51A,ui_3DSConnect_Confirm_Title
7BA7988B,ui_3DSConnect_Confirm_Desc
C73B2E5C,
DAF51DB7,
27F28408,
D63A0C2F,
4F335D95,
38346D03,
A650F8A0,
A189242D,ui_3DSConnect_WiiU_Prizes_Title
42CC9104,ui_3DSConnect_WiiU_Prizes_Unlock_01
DBC5C0BE,ui_3DSConnect_WiiU_Prizes_Unlock_02
ACC2F028,ui_3DSConnect_WiiU_Prizes_Unlock_03
32A6658B,ui_3DSConnect_WiiU_Prizes_Unlock_04
5C2411D3,ui_3DSConnect_WiiU_Prizes_Unlock_01_Desc
DAB0637D,ui_3DSConnect_WiiU_Prizes_Unlock_02_Desc
11ECB0D8,ui_3DSConnect_WiiU_Prizes_Unlock_03_Desc
0CE98060,ui_3DSConnect_WiiU_Prizes_Unlock_04_Desc
35CF84F8,
CBBCDA8E,
52B58B34,
25B2BBA2,
BBD62E01,
FE00152E,ui_BattleMode_Error_MissingAttachment_Title
5D990D76,ui_BattleMode_Error_MissingAttachment_Desc
08CFFCAB,ui_BattleMode_Connection_Status
B64D181C,ui_BattleMode_Select_Mode_Title
F587E42F,ui_BattleMode_BM01_Title
01B72DB9,ui_BattleMode_BM01_Desc
C46FFEB2,ui_BattleMode_BM02_Title
87235F17,ui_BattleMode_BM02_Desc
6218F506,ui_BattleMode_BM03_Title
4C7F8CB2,ui_BattleMode_BM03_Desc
F98FBED0,
31503E8A,
9D0DDEEB,ui_BattleMode_Select_Map_Title
68D47A20,ui_BattleMode_Map_Title_1
F1DD2B9A,ui_BattleMode_Map_Title_2
86DA1B0C,ui_BattleMode_Map_Title_3
18BE8EAF,ui_BattleMode_Map_Title_4
6FB9BE39,ui_BattleMode_Map_Title_5
F6B0EF83,ui_BattleMode_Map_Title_6
81B7DF15,ui_BattleMode_Map_Title_7
1108C284,ui_BattleMode_Map_Title_8
660FF212,ui_BattleMode_Map_Title_9
CFDD2B93,ui_BattleMode_Map_Title_10
B8DA1B05,ui_BattleMode_Map_Title_11
21D34ABF,ui_BattleMode_Map_Title_12
D3387D4B,
671EE589,
3E04323D,
DBEE3E24,ui_BattleMode_Select_Hero_Title
D84DC3E0,
B79CF065,ui_BattleMode_Settings_Button
CA411E5B,ui_BattleMode_Settings_Easy
4BE919EF,ui_BattleMode_Settings_Medium
42369B1E,ui_BattleMode_Settings_Hard
7879C5ED,ui_BattleMode_Settings_Half
AC1F34BC,ui_BattleMode_Settings_Normal
577DAEB7,ui_BattleMode_Settings_Double
CF65D341,ui_BattleMode_Settings_Lives
A5AED6B5,ui_BattleMode_Settings_Lives_Desc
0CC7BFBA,ui_BattleMode_Settings_EnemyDiff
D191F2C1,ui_BattleMode_Settings_EnemyDiff_Desc
394E7909,ui_BattleMode_Settings_RingMult
9905D366,ui_BattleMode_Settings_RingMult_Desc
9C520834,ui_BattleMode_Settings_Damage
D57B7A10,ui_BattleMode_Settings_Damage_Desc
EE383295,ui_BattleMode_Settings_CameraSpeed
5FE38171,ui_BattleMode_Settings_CameraSpeed_Desc
AEB42D94,ui_BattleMode_Settings_PowerUps
72AF42E9,ui_BattleMode_Settings_PowerUps_Desc
EADD26A0,ui_BattleMode_Settings_StartTime
221CA100,ui_BattleMode_Settings_StartTime_Desc
06794134,ui_BattleMode_Settings_CrystalReward
8CD1A636,ui_BattleMode_Settings_CrystalReward_Desc
8FEB99EC,ui_BattleMode_Challenges_Title
4C427730,ui_BattleMode_Challenges_BM01_Desc
F37390C2,ui_BattleMode_Challenges_BM02_Desc_01
6A7AC178,ui_BattleMode_Challenges_BM02_Desc_02
1D7DF1EE,ui_BattleMode_Challenges_BM02_Desc_03
018AD63B,ui_BattleMode_Challenges_BM03_Desc
2722AD64,ui_BattleMode_HUD_Target
A42F015A,ui_BattleMode_HUD_Banner_GetReady
0643365A,ui_BattleMode_HUD_Banner_Go
5D62AF85,ui_BattleMode_HUD_Banner_MatchStart
FD06F78F,
1F2303D5,ui_BattleMode_HUD_Banner_Victory
4E03004E,ui_BattleMode_HUD_Banner_Failure
24FB221C,ui_BattleMode_HUD_Banner_DestroyTarget
B2511E15,ui_BattleMode_HUD_Banner_SurviveWave
9FB133D4,ui_BattleMode_HUD_Banner_DestroyAll
A16B5F5B,ui_BattleMode_HUD_Banner_SpeedUp
D6E90CB7,ui_BattleMode_HUD_Banner_SpeedDown
628B71F6,
CBBFBE82,ui_BattleMode_Results_Title
38A0B2E6,ui_BattleMode_Results_Team_Points
77C66311,ui_BattleMode_Results_Total_Time
8BF4DBAF,ui_BattleMode_Results_Challenge_Complete
EE3D0132,ui_BattleMode_Replay_Prompt
F6769BC1,ui_BattleMode_Restart_Prompt
E03C038F,ui_BattleMode_Quit_Prompt
A183E295,ui_HUD_ComboMeter_Text
62019D38,ui_HUD_ComboMeter_Text_Singular
54701523,
34BEFA7F,
757CDBDD,
349BE7ED,
3AC1D537,
C193F5B7,
4E3AEBC1,
4FD7F5D3,
B5F7CE77,ui_HUD_ObjTracker_Hub_Improvement_Obj
601CD997,ui_HUD_ObjTracker_Hub01_BoatParts_Objs
F9BFA937,ui_HUD_ObjTracker_Hub01_ForemanMission_Objs
D7D01A1A,ui_HUD_ObjTracker_Hub01_ChefMission_Objs
2D53B889,ui_HUD_ObjTracker_Hub01_DoctorMission_Objs
DFBCE5AB,ui_HUD_ObjTracker_Hub02_SaltyMission_Objs
467E45E4,ui_HUD_ObjTracker_Hub02_PerciMission_Objs
C0F8C733,ui_HUD_ObjTracker_Hub02_FarmhandMission_Objs
CC189A84,ui_HUD_ObjTracker_Hub02_PokeyMission_Objs
163A0933,ui_HUD_ObjTracker_Hub02_FastidiousMission_Objs
FA981B81,ui_HUD_Artwork_Unlocked
C6AA0D99,
4E62C1E5,ui_HUD_Gallery_Unlocked_Desc
AC747754,ui_HUD_QNCDatabase_Unlock
2C03B6CB,
D6CF93D4,
BE378286,
B505C39C,
84FA1D3D,ui_Gallery_Bestiary_Button
74F3F1D6,ui_Gallery_ConceptArt_Button
FFEABD75,ui_Gallery_Cinematics_Button
C9F2AF7C,ui_Gallery_Music_Button
E851C6A3,ui_Bestiary_Heroes_Button
1F13D91F,ui_Bestiary_Friends_Button
C425F642,ui_Bestiary_Bosses_Button
07A1401B,ui_Bestiary_Enemies_Button
86D816D6,ui_Bestiary_ShowInfo_Button
86AB02D1,ui_Bestiary_HideInfo_Button
FB43396A,bestiaryS1I1Name
BCE343BA,bestiaryS1I2Name
81836A0A,bestiaryS1I3Name
33A3B61A,bestiaryS1I4Name
AED5EB38,bestiaryS1I1Desc
E97591E8,bestiaryS1I2Desc
D415B858,bestiaryS1I3Desc
66356448,bestiaryS1I4Desc
CAAB23F7,bestiaryS2I1Name
8D0B5927,bestiaryS2I2Name
B06B7097,bestiaryS2I3Name
024BAC87,bestiaryS2I4Name
3F2B8537,bestiaryS2I5Name
788BFFE7,bestiaryS2I6Name
45EBD657,bestiaryS2I7Name
C7BB4186,bestiaryS2I8Name
FADB6836,bestiaryS2I9Name
B3B9246C,bestiaryS2I10Name
8ED90DDC,bestiaryS2I11Name
C979770C,bestiaryS2I12Name
F4195EBC,bestiaryS2I13Name
463982AC,bestiaryS2I14Name
7B59AB1C,bestiaryS2I15Name
9F3DF1A5,bestiaryS2I1Desc
D89D8B75,bestiaryS2I2Desc
E5FDA2C5,bestiaryS2I3Desc
57DD7ED5,bestiaryS2I4Desc
6ABD5765,bestiaryS2I5Desc
2D1D2DB5,bestiaryS2I6Desc
107D0405,bestiaryS2I7Desc
922D93D4,bestiaryS2I8Desc
AF4DBA64,bestiaryS2I9Desc
E62FF63E,bestiaryS2I10Desc
DB4FDF8E,bestiaryS2I11Desc
9CEFA55E,bestiaryS2I12Desc
A18F8CEE,bestiaryS2I13Desc
13AF50FE,bestiaryS2I14Desc
2ECF794E,bestiaryS2I15Desc
6CDC2843,bestiaryS3I1Name
2B7C5293,bestiaryS3I2Name
161C7B23,bestiaryS3I3Name
A43CA733,bestiaryS3I4Name
995C8E83,bestiaryS3I5Name
394AFA11,bestiaryS3I1Desc
7EEA80C1,bestiaryS3I2Desc
438AA971,bestiaryS3I3Desc
F1AA7561,bestiaryS3I4Desc
CCCA5CD1,bestiaryS3I5Desc
A97B16CD,bestiaryS4I1Name
EEDB6C1D,bestiaryS4I2Name
D3BB45AD,bestiaryS4I3Name
619B99BD,bestiaryS4I4Name
5CFBB00D,bestiaryS4I5Name
1B5BCADD,bestiaryS4I6Name
263BE36D,bestiaryS4I7Name
A46B74BC,bestiaryS4I8Name
990B5D0C,bestiaryS4I9Name
75D62DEB,bestiaryS4I10Name
48B6045B,bestiaryS4I11Name
0F167E8B,bestiaryS4I12Name
3276573B,bestiaryS4I13Name
80568B2B,bestiaryS4I14Name
BD36A29B,bestiaryS4I15Name
FA96D84B,bestiaryS4I16Name
C7F6F1FB,bestiaryS4I17Name
45A6662A,bestiaryS4I18Name
78C64F9A,bestiaryS4I19Name
F3425F45,bestiaryS4I20Name
CE2276F5,bestiaryS4I21Name
89820C25,bestiaryS4I22Name
B4E22595,bestiaryS4I23Name
EDEFD702,
9A7105F2,
01D4499D,
754CA012,
EEE9EC7D,
99773E8D,
02D272E2,
7046ED93,
EBE3A1FC,
CB0A71CC,
50AF3DA3,
2731EF53,
BC94A33C,
C80C4AB3,
53A906DC,
2437D42C,
BF929843,
CD060732,
56A34B5D,
76C01D02,
ED65516D,
9AFB839D,
015ECFF2,
FCEDC49F,bestiaryS4I1Desc
BB4DBE4F,bestiaryS4I2Desc
862D97FF,bestiaryS4I3Desc
340D4BEF,bestiaryS4I4Desc
096D625F,bestiaryS4I5Desc
4ECD188F,bestiaryS4I6Desc
73AD313F,bestiaryS4I7Desc
F1FDA6EE,bestiaryS4I8Desc
CC9D8F5E,bestiaryS4I9Desc
2040FFB9,bestiaryS4I10Desc
1D20D609,bestiaryS4I11Desc
5A80ACD9,bestiaryS4I12Desc
67E08569,bestiaryS4I13Desc
D5C05979,bestiaryS4I14Desc
E8A070C9,bestiaryS4I15Desc
AF000A19,bestiaryS4I16Desc
926023A9,bestiaryS4I17Desc
1030B478,bestiaryS4I18Desc
2D509DC8,bestiaryS4I19Desc
A6D48D17,bestiaryS4I20Desc
9BB4A4A7,bestiaryS4I21Desc
DC14DE77,bestiaryS4I22Desc
2FA1357A,
533B1009,
F9DF3904,ui_Gallery_ArtGallery_Artifacts
DEF7CF7A,ui_Gallery_ArtGallery_Characters
A58D1A0A,ui_Gallery_ArtGallery_Enemies
8F7B5E3A,ui_Gallery_ArtGallery_Environments
2721FD1F,
934DC282,
3D95DC7A,
2B84E6DB,
145A95B2,
303CB91B,
A14D91A2,galleryMoviesS1I1Name
E6EDEB72,galleryMoviesS1I2Name
DB8DC2C2,galleryMoviesS1I3Name
54CD3762,galleryMoviesS1I5Name
136D4DB2,galleryMoviesS1I6Name
2E0D6402,galleryMoviesS1I7Name
AC5DF3D3,galleryMoviesS1I8Name
913DDA63,galleryMoviesS1I9Name
D21334C5,galleryMoviesS1I12Name
EF731D75,galleryMoviesS1I13Name
5D53C165,galleryMoviesS1I14Name
1AF3BBB5,galleryMoviesS1I17Name
98A32C64,galleryMoviesS1I18Name
A5C305D4,galleryMoviesS1I19Name
2E47150B,galleryMoviesS1I20Name
13273CBB,galleryMoviesS1I21Name
5487466B,galleryMoviesS1I22Name
DBC7B3CB,galleryMoviesS1I24Name
E51BC6AE,galleryMoviesS1I30Name
D87BEF1E,galleryMoviesS1I31Name
A2BBBC7E,galleryMoviesS1I33Name
109B606E,galleryMoviesS1I34Name
6A5B330E,galleryMoviesS1I36Name
573B1ABE,galleryMoviesS1I37Name
D56B8D6F,galleryMoviesS1I38Name
E80BA4DF,galleryMoviesS1I39Name
F81EF616,galleryMoviesS1I40Name
C57EDFA6,galleryMoviesS1I41Name
82DEA576,galleryMoviesS1I42Name
BFBE8CC6,galleryMoviesS1I43Name
0D9E50D6,galleryMoviesS1I44Name
E431AA85,
C482B2B4,ui_Music_Player_Track_Title
A8526F52,ui_Tut_FirstRoad_01
315B3EE8,ui_Tut_FirstRoad_02
465C0E7E,ui_Tut_FirstRoad_03
D8389BDD,ui_Tut_FirstRoad_04
AF3FAB4B,ui_Tut_FirstRoad_05
3636FAF1,ui_Tut_FirstRoad_06
4131CA67,ui_Tut_FirstRoad_07
D18ED7F6,ui_Tut_FirstRoad_08
A689E760,ui_Tut_FirstRoad_09
7E556E80,ui_Tut_P2Road_01
E75C3F3A,ui_Tut_P2Road_02
905B0FAC,ui_Tut_P2Road_03
9143E02A,ui_Tut_ForestPath_01
084AB190,ui_Tut_ForestPath_02
7F4D8106,ui_Tut_ForestPath_03
E12914A5,ui_Tut_ForestPath_04
962E2433,ui_Tut_ForestPath_05
0F277589,ui_Tut_ForestPath_06
7820451F,ui_Tut_ForestPath_07
E89F588E,ui_Tut_ForestPath_08
9F986818,ui_Tut_ForestPath_09
